;acier;combat;dragon;eau;feu;électrik;fée;glace;insecte;normal;plante;poison;psy;roche;sol;spectre;ténèbres;vol;
acier;0.5;1;1;0.5;0.5;0.5;2;2;1;1;1;1;1;2;1;1;1;1;
combat;2;1;1;1;1;1;0.5;2;0.5;2;1;0.5;0.5;2;1;0;2;0.5;
dragon;0.5;1;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;
eau;1;1;0.5;0.5;2;1;1;1;1;1;0.5;1;1;2;2;1;1;1;
éléctrik;1;1;0.5;2;1;0.5;1;1;1;1;0.5;1;1;1;0;1;1;2;
feu;2;1;0.5;0.5;0.5;1;1;2;2;1;2;1;1;0.5;1;1;1;1;
fée;0.5;2;2;1;0.5;1;1;1;1;1;1;0.5;1;1;1;1;2;1;
glace;0.5;1;2;0.5;0.5;1;1;0.5;1;1;2;1;1;1;2;1;1;2;
insecte;0.5;0.5;1;1;0.5;1;0.5;1;1;1;2;0.5;2;1;1;0.5;2;0.5;
normal;0.5;1;1;1;1;1;1;1;1;1;1;1;1;0.5;1;0;1;1;
plante;0.5;1;0.5;2;0.5;1;1;1;0.5;1;0.5;0.5;1;2;2;1;1;0.5;
poison;0;1;1;1;1;1;2;1;1;1;2;0.5;1;0.5;0.5;0.5;1;1;
psy;0.5;2;1;1;1;1;1;1;1;1;1;2;0.5;1;1;1;0;1;
roche;0.5;0.5;1;1;2;1;1;2;2;1;1;1;1;1;0.5;1;1;2;
sol;2;1;1;1;2;2;1;1;0.5;1;0.5;2;1;2;1;1;1;0;
spectre;1;1;1;1;1;1;1;1;1;0;1;1;2;1;1;2;0.5;1;
ténèbres;1;0.5;1;1;1;1;0.5;1;1;1;1;1;2;1;1;2;0.5;1;
vol;0.5;2;1;1;1;1;1;1;2;1;2;1;1;0.5;1;1;1;1;
;;;;;;;;;;;;;;;;;;;
