<<<<<<< HEAD
#;Name;Type 1;Type 2;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Generation;Legendary;Coordonnees
1;Bulbasaur;Grass;Poison;318;45;49;49;65;65;45;1;False;[31.445398005630054, 5.634905916753981]
2;Ivysaur;Grass;Poison;405;60;62;63;80;80;60;1;False;[3.586566583915727, 1.8700806450660623]
3;Venusaur;Grass;Poison;525;80;82;83;100;100;80;1;False;[1.6634107155798095, 5.776035778221535]
4;Charmander;Fire;;309;39;52;43;60;50;65;1;False;[0.2009863621576402, 9.941813707933967]
5;Charmeleon;Fire;;405;58;64;58;80;65;80;1;False;[26.972490904133043, 9.957007342171252]
6;Charizard;Fire;Flying;534;78;84;78;109;85;100;1;False;[38.04000913626969, 8.57313267355103]
7;Squirtle;Water;;314;44;48;65;50;64;43;1;False;[21.983776955090324, 0.22512059009943575]
8;Wartortle;Water;;405;59;63;80;65;80;58;1;False;[35.29859641052892, 7.154676024593956]
9;Blastoise;Water;;530;79;83;100;85;105;78;1;False;[35.03967606802652, 1.2637612636906115]
10;Caterpie;Bug;;195;45;30;35;20;20;45;1;False;[10.284280337874856, 8.131837232960763]
11;Metapod;Bug;;205;50;20;55;25;25;30;1;False;[16.077224565073767, 7.457573382363931]
12;Butterfree;Bug;Flying;395;60;45;50;90;80;70;1;False;[10.411488304598908, 6.341561499814487]
13;Weedle;Bug;Poison;195;40;35;30;20;20;50;1;False;[14.004459662983972, 2.4462477042614728]
14;Kakuna;Bug;Poison;205;45;25;50;25;25;35;1;False;[31.579489094509587, 0.36864263812350195]
15;Beedrill;Bug;Poison;395;65;90;40;45;80;75;1;False;[30.221131463264527, 6.990202133741288]
16;Pidgey;Normal;Flying;251;40;45;40;35;35;56;1;False;[1.3374632894703442, 8.839749473410937]
17;Pidgeotto;Normal;Flying;349;63;60;55;50;50;71;1;False;[35.34973520494862, 1.5028971264479074]
18;Pidgeot;Normal;Flying;479;83;80;75;70;70;101;1;False;[13.474982726384358, 8.047377473760394]
19;Rattata;Normal;;253;30;56;35;25;35;72;1;False;[9.719216127515317, 7.190498902165428]
20;Raticate;Normal;;413;55;81;60;50;70;97;1;False;[0.48215355998211695, 5.401009788016728]
21;Spearow;Normal;Flying;262;40;60;30;31;31;70;1;False;[24.208457173765538, 1.9507721671594591]
22;Fearow;Normal;Flying;442;65;90;65;61;61;100;1;False;[6.147366073506535, 4.507213079558712]
23;Ekans;Poison;;288;35;60;44;40;54;55;1;False;[33.77471424112477, 0.8911686696292909]
24;Arbok;Poison;;438;60;85;69;65;79;80;1;False;[39.77535103003635, 1.8132532779656674]
25;Pikachu;Electric;;320;35;55;40;50;50;90;1;False;[13.875446747283519, 6.14279531708128]
26;Raichu;Electric;;485;60;90;55;90;80;110;1;False;[29.900492519265775, 9.79318434728133]
27;Sandshrew;Ground;;300;50;75;85;20;30;40;1;False;[16.81057591430871, 7.800972002302769]
28;Sandslash;Ground;;450;75;100;110;45;55;65;1;False;[10.909187074734628, 2.8269522443474013]
29;Nidoran♀;Poison;;275;55;47;52;40;40;41;1;False;[13.433465891832995, 7.358845723340009]
30;Nidorina;Poison;;365;70;62;67;55;55;56;1;False;[23.251337152916754, 3.619901635461562]
31;Nidoqueen;Poison;Ground;505;90;92;87;75;85;76;1;False;[39.814433030513385, 8.092220438401348]
32;Nidoran♂;Poison;;273;46;57;40;40;40;50;1;False;[10.44921273787959, 4.16222896960959]
33;Nidorino;Poison;;365;61;72;57;55;55;65;1;False;[33.6478912719958, 4.850265355979139]
34;Nidoking;Poison;Ground;505;81;102;77;85;75;85;1;False;[2.1398148072313905, 9.843080207241306]
35;Clefairy;Fairy;;323;70;45;48;60;65;35;1;False;[7.289428040681618, 3.9257589063363896]
36;Clefable;Fairy;;483;95;70;73;95;90;60;1;False;[17.669733888499483, 6.124409475581105]
37;Vulpix;Fire;;299;38;41;40;50;65;65;1;False;[15.66571270709574, 5.220351901527827]
38;Ninetales;Fire;;505;73;76;75;81;100;100;1;False;[12.277596891059218, 4.205844868628205]
39;Jigglypuff;Normal;Fairy;270;115;45;20;45;25;20;1;False;[35.73066085649331, 9.435276416643603]
40;Wigglytuff;Normal;Fairy;435;140;70;45;85;50;45;1;False;[5.296557574930318, 1.0194403973036648]
41;Zubat;Poison;Flying;245;40;45;35;30;40;55;1;False;[36.295269979466596, 3.2267556954207564]
42;Golbat;Poison;Flying;455;75;80;70;65;75;90;1;False;[2.39300993148829, 2.749594918404709]
43;Oddish;Grass;Poison;320;45;50;55;75;65;30;1;False;[17.622421037182896, 7.190637994271031]
44;Gloom;Grass;Poison;395;60;65;70;85;75;40;1;False;[37.32178127627191, 1.196091868192628]
45;Vileplume;Grass;Poison;490;75;80;85;110;90;50;1;False;[23.862572386780847, 6.6894285554637865]
